"id1","id2","lat","lon","el"
1815,"MGR",53.8833333333333,-122.133333333333,750
1816,"MGR",53.8833333333333,-124.133333333333,725
1817,"MGR",53.8833333333333,-124.166666666667,725
1818,"MGR",53.8833333333333,-122.166666666667,725
1819,"MGR",53.8833333333333,-122.166666666667,725
1820,"MGR",53.8833333333333,-122.166666666667,725
1821,"MGR",53.8833333333333,-122.166666666667,725
1822,"MGR",53.8833333333333,-122.166666666667,725
1823,"MGR",53.8666666666667,-122.166666666667,725
1824,"MGR",53.8666666666667,-122.166666666667,725
1825,"MGR",53.8666666666667,-122.166666666667,725
1826,"MGR",53.8666666666667,-122.166666666667,725
1827,"MGR",53.8666666666667,-122.166666666667,725
1828,"MGR",53.8833333333333,-122.2,725
1829,"MGR",53.8833333333333,-122.2,725
1830,"MGR",53.8833333333333,-122.2,725
1831,"MGR",53.8833333333333,-122.2,725
1832,"MGR",53.8833333333333,-122.2,725
1833,"MGR",53.8833333333333,-122.133333333333,725
1834,"MGR",53.8666666666667,-122.166666666667,725
1835,"WK",49.2333333333333,-117.966666666667,900
1836,"WK",49.25,-118.033333333333,900
1837,"WK",49.3,-117.933333333333,600
1838,"WK",49.3,-117.933333333333,600
1901,"SA",50.45,-118.9,1158
1902,"BSH",51.5166666666667,-117.183333333333,945
1903,"WK",49.7333333333333,-117.583333333333,998
1904,"SA",57.1166666666667,-118.183333333333,861
1905,"BSH",51.5166666666667,-117.183333333333,945
1906,"WK",49.7333333333333,-117.583333333333,998
1907,"SA",49.9333333333333,-118.383333333333,888
1908,"SA",49.9333333333333,-118.383333333333,883
1909,"WK",49.1833333333333,-117.583333333333,998
2000,"MGR",53.8666666666667,-122.166666666667,725
2001,"NCH",54.2333333333333,-124.166666666667,700
2002,"NCH",54.2333333333333,-124.166666666667,700
2003,"NCH",54.2333333333333,-124.166666666667,700
2004,"NCH",54.2333333333333,-124.166666666667,700
2005,"CP",54.4166666666667,-124.666666666667,975
2006,"CP",54.4166666666667,-124.666666666667,975
2007,"CP",54.4166666666667,-124.666666666667,975
2008,"CP",54.4166666666667,-124.666666666667,975
2009,"CP",54.4166666666667,-124.666666666667,975
2010,"CP",54.4166666666667,-124.666666666667,975
2011,"CP",54.4166666666667,-124.666666666667,975
2012,"CP",54.4166666666667,-124.666666666667,975
2013,"CP",54.7166666666667,-124.7,750
2014,"CP",54.7166666666667,-124.7,750
2015,"CP",54.7166666666667,-124.7,750
2016,"CP",54.7166666666667,-124.7,750
2017,"CP",54.7166666666667,-124.7,750
2018,"CP",54.45,-123.966666666667,840
2019,"CP",54.45,-123.966666666667,840
2020,"CP",54.45,-123.416666666667,840
2021,"CP",54.45,-123.416666666667,840
2022,"CP",54.45,-123.416666666667,840
2023,"CP",54.45,-123.416666666667,840
2024,"CP",54.45,-123.416666666667,840
2025,"CP",54.45,-123.416666666667,840
2026,"CP",54.45,-123.416666666667,840
2027,"CP",54.45,-123.966666666667,840
2028,"CP",54.45,-123.966666666667,840
2029,"CP",54.45,-123.966666666667,840
2030,"CP",54.3666666666667,-123.75,800
2031,"CP",54.3666666666667,-123.75,800
2032,"CP",54.3666666666667,-123.75,800
2033,"CP",55.0833333333333,-124.25,990
2034,"CP",55.0833333333333,-124.25,990
2035,"CP",55.0833333333333,-124.25,990
2036,"CP",55.0833333333333,-124.25,990
2037,"CP",55.0833333333333,-124.25,990
2039,"CP",55.0833333333333,-124.25,990
2040,"CP",55.0833333333333,-124.25,990
2041,"CP",55.0833333333333,-124.25,990
2042,"CP",55.0833333333333,-124.25,990
2043,"CP",55.0833333333333,-124.25,990
2044,"CP",55.0833333333333,-124.25,990
2045,"CP",55.0833333333333,-124.25,990
2046,"CP",55.0833333333333,-124.25,990
2047,"CP",55.0833333333333,-124.25,990
2048,"CP",55.0833333333333,-124.25,990
2049,"CP",55.0833333333333,-124.25,990
2050,"CP",54.7833333333333,-124.166666666667,825
2051,"CP",54.7833333333333,-124.166666666667,825
2052,"CP",54.7833333333333,-124.166666666667,825
2053,"CP",54.7833333333333,-124.166666666667,825
2054,"CP",54.7833333333333,-124.166666666667,825
2055,"CP",54.7833333333333,-124.166666666667,825
2056,"CP",54.7833333333333,-124.166666666667,825
2057,"CP",54.7833333333333,-124.166666666667,825
2058,"CP",54.7833333333333,-124.166666666667,825
2059,"CP",54.7833333333333,-124.166666666667,825
2060,"CP",54.4166666666667,-124.666666666667,975
2061,"CP",54.4166666666667,-124.666666666667,975
2062,"NCH",54.25,-124.2,700
2063,"NCH",54.25,-124.2,700
2064,"NCH",54.25,-124.2,700
2065,"NCH",54.25,-124.2,700
2066,"NCH",54.25,-124.2,700
2067,"NCH",54.25,-124.2,700
2068,"NCH",54.25,-124.2,700
2069,"NCH",54.25,-124.2,700
2070,"NCH",54.25,-124.2,700
2071,"NCH",54.25,-124.2,700
2072,"NCH",54.25,-124.2,700
2073,"NCH",54.25,-124.233333333333,700
2074,"NCH",54.25,-124.233333333333,700
2075,"NCH",54.25,-124.233333333333,700
2076,"NCH",54.25,-124.233333333333,700
2077,"NCH",54.25,-124.233333333333,700
2078,"NCH",54.2833333333333,-124.3,700
2079,"NCH",54.2833333333333,-124.3,700
2080,"NCH",54.2833333333333,-124.3,700
2081,"NCH",54.2833333333333,-124.3,700
2082,"NCH",54.2833333333333,-124.3,700
2083,"CP",54.3,-123.1,750
2084,"CP",54.3,-123.1,750
2085,"CP",54.3,-123.1,750
2086,"CP",54.3666666666667,-123.75,800
2087,"CP",54.3666666666667,-123.75,800
2088,"CP",54.1,-123.033333333333,740
2089,"CP",54.1,-123.033333333333,740
2091,"CP",54.4333333333333,-122.7,685
2092,"CP",54.4333333333333,-122.7,685
2093,"CP",54.4333333333333,-122.7,685
2094,"CP",54.4333333333333,-122.7,685
2095,"CP",54.4333333333333,-122.7,685
2096,"CP",54.4166666666667,-122.733333333333,685
